Repository,Stars,Forks,Open Issues,Total Issues,Last Updated,Primary Language,Contributors
wasabijiro/ChillVille,0,1,0,9,2024-09-22,TypeScript,2
RajeshRk18/noir_crypto,0,0,0,0,2024-01-31,Rust,1
devarogundade/electron,0,0,0,0,2024-04-29,Solidity,1
jtriley-eth/export-collision-poc,0,0,0,0,2024-12-11,Noir,1
swarnasn29/HexDeed,0,0,0,0,2024-04-29,Solidity,1
saleel/bb-threads,0,0,0,0,2024-11-26,JavaScript,1
temitopeohassan/anonimaxi,0,0,0,0,2024-12-11,TypeScript,1
zachalam/CreditVerifier,0,0,0,5,2024-02-12,TypeScript,2
guelowrd/noir-zkregex-basic-example,0,0,0,0,2023-09-11,Roff,1
catmcgee/aleph,0,0,0,0,2024-12-14,Solidity,1
youtpout/pi-wallet,0,0,0,1,2024-05-02,Solidity,1
SpiralOutDotEu/voting-demo,0,0,0,0,2023-12-28,JavaScript,1
signorecello/noir-bug-slices-in-dependencies,0,0,0,0,2023-12-19,Roff,1
michaeljklein/zk-pong,0,0,1,1,2024-02-15,Solidity,1
colinnielsen/threshold-touch-id,0,0,0,0,2023-10-19,Roff,1
hubarDevPersonal/ZK,0,0,0,0,2024-02-14,Solidity,1
AnoyRC/Luna_CircuitBreaker,0,1,0,0,2024-02-17,Solidity,1
teterabOb/aztec-token-esp,0,0,0,0,2024-05-06,Roff,1
ofemeteng/aztec-otc,0,0,0,0,2024-05-04,Roff,1
noir-lang/eddsa,0,0,0,5,2024-11-27,Noir,2
H-Blues/zkpa,0,0,0,0,2024-08-11,JavaScript,1
0xshora/noir_dash,0,0,0,0,2024-10-12,Solidity,1
Turupawn/zuThing,0,0,0,0,2024-08-07,Solidity,1
olehmisar/hardhat-noir-starter,0,0,0,0,2024-12-15,TypeScript,1
uratmangun/scroll-zk,0,0,0,0,2024-02-07,TypeScript,1
zac-williamson/noir-poseidon1-array-bug,0,0,0,0,2024-03-22,Roff,1
gabrielfior/ng-questplay,0,0,0,0,2024-01-10,JavaScript,1
alexghr/ro_cnp,0,0,0,0,2024-06-18,Earthly,1
unmani-shinde/HushZK,0,0,0,0,2024-06-03,TypeScript,1
tuhoag/zkSSI,0,0,0,0,2024-11-08,TypeScript,1
michaelelliot/noir_merkle_tree_poseidon2,0,0,0,0,2024-11-28,TypeScript,1
Hyle-org/cairo-erc20-runner,0,0,0,10,2024-07-17,Cairo,3
defi-wonderland/aztec-integration-testing,0,0,1,5,2024-03-14,TypeScript,3
michaeljklein/noir_top_three_demo,0,0,0,0,2024-09-29,Noir,1
tony1908/zk-openbanking,0,0,0,0,2024-02-18,TypeScript,1
critesjosh/token_bridge_tutorial,0,0,0,0,2023-12-22,Roff,1
0xbow-io/asp-aztec-bridge,0,0,0,23,2024-10-22,Noir,2
blockchain-boulders/pebbles,0,0,0,5,2023-10-27,TypeScript,3
jonybur/ecdsa_secp256r1,0,0,0,0,2023-11-10,JavaScript,2
